material_id,pretty_formula,formation_energy_per_atom,num_elements,elements,crystal_system,space_group_symbol,nsites,composition,num_halogens,num_unique_halogen_types
mp-1112317,CsK2InF6,-2.871217322082183,4,"[Element Cs, Element F, Element In, Element K]",Cubic,Fm-3m,10,Cs1 K2 In1 F6,6.0,1
mp-1112315,CsK2IrF6,-2.424780316415517,4,"[Element Cs, Element F, Element Ir, Element K]",Cubic,Fm-3m,10,Cs1 K2 Ir1 F6,6.0,1
mp-1112308,CsK2MoF6,-2.842407379415517,4,"[Element Cs, Element F, Element K, Element Mo]",Cubic,Fm-3m,10,Cs1 K2 Mo1 F6,6.0,1
mp-1111974,CsK2NbF6,-2.8702571534155172,4,"[Element Cs, Element F, Element K, Element Nb]",Cubic,Fm-3m,10,Cs1 K2 Nb1 F6,6.0,1
mp-1112304,CsK2PdF6,-2.369593586415517,4,"[Element Cs, Element F, Element K, Element Pd]",Cubic,Fm-3m,10,Cs1 K2 Pd1 F6,6.0,1
mp-1112313,CsK2RuF6,-2.496697623415516,4,"[Element Cs, Element F, Element K, Element Ru]",Cubic,Fm-3m,10,Cs1 K2 Ru1 F6,6.0,1
mp-1112055,CsK2SbCl6,-1.790849352415517,4,"[Element Cl, Element Cs, Element K, Element Sb]",Cubic,Fm-3m,10,Cs1 K2 Sb1 Cl6,6.0,1
mp-1112270,CsK2SbF6,-2.751660770415517,4,"[Element Cs, Element F, Element K, Element Sb]",Cubic,Fm-3m,10,Cs1 K2 Sb1 F6,6.0,1
mp-1112309,CsK2ScCl6,-2.313783583915517,4,"[Element Cl, Element Cs, Element K, Element Sc]",Cubic,Fm-3m,10,Cs1 K2 Sc1 Cl6,6.0,1
mp-1110639,CsK2ScF6,-3.441292583915518,4,"[Element Cs, Element F, Element K, Element Sc]",Cubic,Fm-3m,10,Cs1 K2 Sc1 F6,6.0,1
mp-1112268,CsK2TaF6,-2.83214702514885,4,"[Element Cs, Element F, Element K, Element Ta]",Cubic,Fm-3m,10,Cs1 K2 Ta1 F6,6.0,1
mp-1112052,CsK2TiF6,-3.18084495174885,4,"[Element Cs, Element F, Element K, Element Ti]",Cubic,Fm-3m,10,Cs1 K2 Ti1 F6,6.0,1
mp-1111971,CsK2TlF6,-2.5809360017488503,4,"[Element Cs, Element F, Element K, Element Tl]",Cubic,Fm-3m,10,Cs1 K2 Tl1 F6,6.0,1
mp-1112254,CsK2VF6,-2.958520357415517,4,"[Element Cs, Element F, Element K, Element V]",Cubic,Fm-3m,10,Cs1 K2 V1 F6,6.0,1
mp-1112240,CsK2YF6,-3.432307082415517,4,"[Element Cs, Element F, Element K, Element Y]",Cubic,Fm-3m,10,Cs1 K2 Y1 F6,6.0,1
mp-1111785,CsRb2AlBr6,-1.7746722194655171,4,"[Element Al, Element Br, Element Cs, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Al1 Br6,6.0,1
mp-1111710,CsRb2AlCl6,-2.120574464465517,4,"[Element Al, Element Cl, Element Cs, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Al1 Cl6,6.0,1
mp-1111045,CsRb2AlF6,-3.354795068465518,4,"[Element Al, Element Cs, Element F, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Al1 F6,6.0,1
mp-1111837,CsRb2AlI6,-1.300768406465517,4,"[Element Al, Element Cs, Element I, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Al1 I6,6.0,1
mp-1111784,CsRb2AsBr6,-1.5041736932155172,4,"[Element As, Element Br, Element Cs, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 As1 Br6,6.0,1
mp-1111709,CsRb2AsCl6,-1.763419437215517,4,"[Element As, Element Cl, Element Cs, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 As1 Cl6,6.0,1
mp-1111463,CsRb2AsF6,-2.712054949215517,4,"[Element As, Element Cs, Element F, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 As1 F6,6.0,1
mp-1111832,CsRb2AsI6,-1.125804938215517,4,"[Element As, Element Cs, Element I, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 As1 I6,6.0,1
mp-1111783,CsRb2AuBr6,-1.310372627465517,4,"[Element Au, Element Br, Element Cs, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Au1 Br6,6.0,1
mp-1113412,CsRb2AuCl6,-1.526740434465517,4,"[Element Au, Element Cl, Element Cs, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Au1 Cl6,6.0,1
mp-1111462,CsRb2AuF6,-2.255948434465517,4,"[Element Au, Element Cs, Element F, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Au1 F6,6.0,1
mp-1111460,CsRb2BiF6,-2.832653291465517,4,"[Element Bi, Element Cs, Element F, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Bi1 F6,6.0,1
mp-1111397,CsRb2CoF6,-2.651282422465518,4,"[Element Co, Element Cs, Element F, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Co1 F6,6.0,1
mp-1113428,CsRb2DyCl6,-2.423644735632183,4,"[Element Cl, Element Cs, Element Dy, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Dy1 Cl6,6.0,1
mp-1111782,CsRb2ErCl6,-2.427862759465517,4,"[Element Cl, Element Cs, Element Er, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Er1 Cl6,6.0,1
mp-1111396,CsRb2FeF6,-2.832430517465517,4,"[Element Cs, Element F, Element Fe, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Fe1 F6,6.0,1
mp-1111781,CsRb2GaBr6,-1.631824409215517,4,"[Element Br, Element Cs, Element Ga, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Ga1 Br6,6.0,1
mp-1111708,CsRb2GaCl6,-1.935375905215517,4,"[Element Cl, Element Cs, Element Ga, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Ga1 Cl6,6.0,1
mp-989629,CsRb2GaF6,-2.9955569472155172,4,"[Element Cs, Element F, Element Ga, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Ga1 F6,6.0,1
mp-1111039,CsRb2GaI6,-1.199179196215517,4,"[Element Cs, Element Ga, Element I, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Ga1 I6,6.0,1
mp-1111780,CsRb2GdCl6,-2.416271157465517,4,"[Element Cl, Element Cs, Element Gd, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Gd1 Cl6,6.0,1
mp-1111779,CsRb2InBr6,-1.669765428132183,4,"[Element Br, Element Cs, Element In, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 In1 Br6,6.0,1
mp-1113607,CsRb2InCl6,-1.955962466132183,4,"[Element Cl, Element Cs, Element In, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 In1 Cl6,6.0,1
mp-989595,CsRb2InF6,-2.916283768132184,4,"[Element Cs, Element F, Element In, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 In1 F6,6.0,1
mp-1111394,CsRb2IrF6,-2.467385547465517,4,"[Element Cs, Element F, Element Ir, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Ir1 F6,6.0,1
mp-1111778,CsRb2LuCl6,-2.429132134132184,4,"[Element Cl, Element Cs, Element Lu, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Lu1 Cl6,6.0,1
mp-1111457,CsRb2MoF6,-2.887734068465517,4,"[Element Cs, Element F, Element Mo, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Mo1 F6,6.0,1
mp-1111043,CsRb2NbF6,-2.915322040465517,4,"[Element Cs, Element F, Element Nb, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Nb1 F6,6.0,1
mp-1111455,CsRb2PdF6,-2.412090709465516,4,"[Element Cs, Element F, Element Pd, Element Rb]",Cubic,Fm-3m,10,Cs1 Rb2 Pd1 F6,6.0,1
mp-1111393,CsRb2RhF6,-2.557088107465516,4,"[Element Cs, Element F, Element Rb, Element Rh]",Cubic,Fm-3m,10,Cs1 Rb2 Rh1 F6,6.0,1
mp-1111777,CsRb2SbCl6,-1.844532827465517,4,"[Element Cl, Element Cs, Element Rb, Element Sb]",Cubic,Fm-3m,10,Cs1 Rb2 Sb1 Cl6,6.0,1
mp-1111454,CsRb2SbF6,-2.798610963465517,4,"[Element Cs, Element F, Element Rb, Element Sb]",Cubic,Fm-3m,10,Cs1 Rb2 Sb1 F6,6.0,1
mp-1111776,CsRb2ScBr6,-2.036122084965517,4,"[Element Br, Element Cs, Element Rb, Element Sc]",Cubic,Fm-3m,10,Cs1 Rb2 Sc1 Br6,6.0,1
mp-1111707,CsRb2ScCl6,-2.365392163965517,4,"[Element Cl, Element Cs, Element Rb, Element Sc]",Cubic,Fm-3m,10,Cs1 Rb2 Sc1 Cl6,6.0,1
mp-1111453,CsRb2ScF6,-3.484884353965517,4,"[Element Cs, Element F, Element Rb, Element Sc]",Cubic,Fm-3m,10,Cs1 Rb2 Sc1 F6,6.0,1
mp-1111452,CsRb2TaF6,-2.86556561319885,4,"[Element Cs, Element F, Element Rb, Element Ta]",Cubic,Fm-3m,10,Cs1 Rb2 Ta1 F6,6.0,1
mp-1110815,CsRb2TbCl6,-2.422234976132183,4,"[Element Cl, Element Cs, Element Rb, Element Tb]",Cubic,Fm-3m,10,Cs1 Rb2 Tb1 Cl6,6.0,1
mp-1111392,CsRb2TiF6,-3.222323495798851,4,"[Element Cs, Element F, Element Rb, Element Ti]",Cubic,Fm-3m,10,Cs1 Rb2 Ti1 F6,6.0,1
mp-1111830,CsRb2TlBr6,-1.520958602798851,4,"[Element Br, Element Cs, Element Rb, Element Tl]",Cubic,Fm-3m,10,Cs1 Rb2 Tl1 Br6,6.0,1
mp-1111451,CsRb2TlF6,-2.628411509798851,4,"[Element Cs, Element F, Element Rb, Element Tl]",Cubic,Fm-3m,10,Cs1 Rb2 Tl1 F6,6.0,1
mp-1110814,CsRb2TmCl6,-2.4289428404655182,4,"[Element Cl, Element Cs, Element Rb, Element Tm]",Cubic,Fm-3m,10,Cs1 Rb2 Tm1 Cl6,6.0,1
mp-1111390,CsRb2VF6,-2.999623885465518,4,"[Element Cs, Element F, Element Rb, Element V]",Cubic,Fm-3m,10,Cs1 Rb2 V1 F6,6.0,1
